tituloPrincipal; tituloOriginal;genero;produtora;anoLancamento;tempoMinutos;notaMedia;numeroVotos
Incompleto;Incompleto;Animation,Comedy,Drama;null;2006;120;6.6;15
Arthur 3: The War of the Two Worlds;Arthur 3: la guerre des deux mondes;Adventure,Animation,Family;EuropaCorp;2010;101;5.4;9400
Arthur et la vengeance de Maltazard;Arthur et la vengeance de Maltazard;Adventure,Animation,Family;Apipoulaï;2009;107;5.2;9863
Dragon Hunters;Chasseurs de dragons;Action,Adventure,Animation;Futurikon;2008;80;6.6;12878
Mátyás, az igazságos;Mátyás, az igazságos;Animation;null;1982;75;7.7;70
Mobile Suit Gundam: The 08th MS Team - Miller's Report;Kidô senshi Gandamu: Dai 08 MS shôtai - Mirâzu ripôto;Action,Animation,Sci-Fi;SUNRISE;1998;51;6.4;157
The Missing Lynx;El lince perdido;Action,Adventure,Animation;Kandor Productions;2008;97;5.2;1207
Alvin and the Chipmunks;Alvin and the Chipmunks;Adventure,Animation,Comedy;Fox 2000 Pictures;2007;92;5.2;86894
Lilla spöket Laban;Lilla spöket Laban;Animation,Family;Filmlance International;2006;45;6.4;83
The Ten Commandments;The Ten Commandments;Animation,Family,History;Promenade Pictures;2007;88;2.9;2461
Max & Co;Max & Co;Adventure,Animation,Drama;SAGA Production;2007;76;5.9;324
A Monster in Paris;Un monstre à Paris;Adventure,Animation,Comedy;EuropaCorp;2011;90;6.7;21422
Rockman. EXE: The Program of Light and Darkness;Gekijôban rockman.exe: Hikari to yami no puroguramu;Action,Animation;XEBEC;2005;48;6.6;52
Genius Party;Genius Party;Adventure,Animation,Fantasy;STUDIO4℃;2007;85;6.9;1539
A Tale of Two Mozzies;Cykelmyggen og dansemyggen;Animation,Family;A. Film Production;2007;75;6.4;100
Detective Conan: The Fourteenth Target;Meitantei Conan: 14 banme no target;Adventure,Animation,Crime;TOHO;1998;99;7.3;2561
Little Witch on a Broomstick;Saxána a Lexikon kouzel;Animation,Comedy,Family;Pragofilm;2011;90;3.2;208
