tituloPrincipal; tituloOriginal;genero;produtora;anoLancamento;tempoMinutos;notaMedia;numeroVotos
Strange Frame: Love & Sax;Strange Frame: Love & Sax;Animation,Crime,Music;Island Planet One Productions;2012;98;7.6;1835
The Toe Tactic;The Toe Tactic;Animation,Drama;null;2008;83;5.2;171
Vexille;Bekushiru: 2077 Nihon sakoku;Action,Animation,Sci-Fi;Avex Entertainment;2007;109;6.8;7734
Imagination;Imagination;Animation,Fantasy;Albino Fawn Productions;2007;70;3.6;214
Film Noir;Film Noir;Animation,Crime,Mystery;EasyE Films;2007;97;6.3;1609
Aachi & Ssipak;Aachi & Ssipak;Action,Animation,Comedy;J Team;2006;90;6.8;1755
Laughter and Grief by the White Sea;Smekh i gore u Bela morya;Animation,Comedy,Drama;Soyuzmultfilm;1987;59;7.8;464
The Velveteen Rabbit;The Velveteen Rabbit;Animation,Drama,Family;null;2009;97;6.2;777
Mary and Max;Mary and Max.;Animation,Comedy,Drama;icon;2009;92;8.1;177910
Secrets of the Seven Sounds;Secrets of the Seven Sounds;Adventure,Animation,Fantasy;null;2008;0;5.9;14
The Adventures of Tintin;The Adventures of Tintin;Action,Adventure,Animation;Paramount;2011;107;7.3;232245
5 Centimeters per Second;Byôsoku 5 senchimêtoru;Animation,Drama,Family;CoMix Wave Films;2007;63;7.5;58627
Metropia;Metropia;Animation,Drama,Mystery;Atmo Media Network;2009;86;6.2;7852
The Magic Crystal;Maaginen kristalli;Adventure,Animation,Comedy;Araneo;2011;80;3.9;251
Tetsujin 28-gô: Hakuchû no zangetsu;Tetsujin 28-gô: Hakuchû no zangetsu;Adventure,Animation,Sci-Fi;GENCO;2007;95;6.7;49
Naruto Shippûden: The Movie;Gekijô-ban Naruto shippûden;Action,Adventure,Animation;Pierrot;2007;94;6.7;4230
Detective Conan: The Phantom of Baker Street;Meitantei Conan: Bekâ Sutorîto no bôrei;Adventure,Animation,Drama;TMS Entertainment;2002;98;7.8;3266
Shakugan No Shana: The Movie;Gekijouban Shakugan no Shana;Animation;J.C.STAFF;2007;96;6.3;214
The Slimbones;The Slimbones;Animation;null;2014;0;7.5;23
One Piece: Chopper's Kingdom in the Strange Animal Island;One piece: Chinjou shima no chopper oukoku;Action,Adventure,Animation;Toei Animation;2002;56;6.3;1700
The Cat Who Walked by Herself;Koshka, kotoraya gulyala sama po sebe;Animation,Drama;Soyuzmultfilm;1988;70;7.1;174
Clannad;Clannad;Animation,Comedy,Drama;Visual Art's/Key;2007;94;7.4;2028
The Wild Swans;Sekai meisaku dôwa: Hakuchou no ouji;Animation,Drama,Family;Toei Animation;1977;62;7.3;267
Billy & Mandy's Big Boogey Adventure;Billy & Mandy's Big Boogey Adventure;Adventure,Animation,Comedy;Cartoon Network Studios;2007;80;7.3;1612
Pokémon Ranger and the Temple of the Sea;Gekijô-ban poketto monsutâ: Adobansu jenerêshon pokemon renjâ to umi no ôji manafi;Action,Adventure,Animation;East Japan Marketing & Communications;2006;105;5.9;2693
Megamind;Megamind;Action,Animation,Comedy;DreamWorks Animation;2010;95;7.3;263973
Legend Quest: The Legend of La Nahuala;La leyenda de la Nahuala;Animation,Family,Fantasy;Animex Producciones;2007;82;6.2;539
Pretty Cure Miracle Universe;Pretty Cure Miracle Universe;Adventure,Animation,Family;Toei Animation;2019;70;7.6;165
Mamma Moo Finds Her Way Home;Mamma Mu hittar hem;Animation,Family;null;2021;65;6.6;65
Heinz;Heinz;Animation;BosBros;2018;0;6.4;51
Made in Abyss: Journey's Dawn;Made in Abyss: Tabidachi no Yoake;Adventure,Animation,Family;Kinema Citrus;2019;119;7.4;677
Made in Abyss: Wandering Twilight;Made in Abyss: Hôrô Suru Tasogare;Adventure,Animation,Fantasy;Kinema Citrus;2019;110;7.8;805
Made in Abyss: Dawn of the Deep Soul;Made in Abyss: Fukaki Tamashî no Reimei;Adventure,Animation,Drama;Kinema Citrus;2020;113;8.1;4021
One Piece: Dead End Adventure;One piece: Dead end no bôken;Action,Adventure,Animation;Toei Animation;2003;95;7.2;2091
Realm of Terracotta;Yong zhi cheng;Action,Adventure,Animation;深圳华强数字动漫有限公司;2021;111;6.1;162
Sherlock Holmes and the Great Escape;The Great Detective Sherlock Holmes: The Great Jail-Breaker;Adventure,Animation;null;2019;84;6.3;149
The Exigency;The Exigency;Action,Adventure,Animation;Cuz Productions;2019;112;6.6;188
My Little Pony: A New Generation;My Little Pony: A New Generation;Adventure,Animation,Comedy;Boulder Media;2021;90;6.8;3886
Foodiverse;Chihuo Yuzhou;Animation,Family;null;2019;89;6;64
One Piece: The Cursed Holy Sword;One piece: Norowareta seiken;Action,Adventure,Animation;Toei Animation;2004;95;6.6;1896
The Golden Laws;Ôgon no hô: Eru Kantâre no rekishikan;Animation;Toei Animation;2003;110;5.6;47
Tabaluga and Leo;Tabaluga und Leo;Animation;null;2003;70;7.5;15
LICK;LICK;Adventure,Animation,Comedy;null;2019;83;8.9;10
Dragon Quest: Your Story;Dragon Quest: Your Story;Action,Adventure,Animation;Shirogumi;2019;103;6.5;2919
Reprint;Reprint;Animation,Crime,Drama;null;2019;0;7.8;14
Chhota Bheem Himalayan Adventure;Chhota Bheem Himalayan Adventure;Animation;null;2016;97;5.6;166
Digimon Adventure tri. Part 2: Determination;Digimon Adventure tri. 2: Ketsui;Action,Adventure,Animation;Toei Animation;2016;84;7.2;1240
Hotel Transylvania 3: Summer Vacation;Hotel Transylvania 3: Summer Vacation;Adventure,Animation,Comedy;Columbia Pictures;2018;97;6.3;75209
White Fang;Croc-Blanc;Adventure,Animation,Drama;Bidibul Productions;2018;85;6.9;3784
Manang Biring;Manang Biring;Animation,Comedy,Drama;Cinema One Originals;2015;88;6.5;24
Ajin Part 1: Shoudou;Ajin Part 1: Shôdô;Adventure,Animation,Horror;Polygon Pictures;2015;106;7.6;1053
Ajin Part 2: Shoutotsu;Ajin: Shôtotsu;Adventure,Animation,Horror;Polygon Pictures;2016;106;7.8;540
Ajin Part 3: Shougeki;Ajin Part 3: Shôgeki;Adventure,Animation,Horror;null;2016;121;7.7;373
Peixonauta: Agente Secreto Da O.s.t.r.a.;Peixonauta: Agente Secreto Da O.s.t.r.a.;Adventure,Animation,Family;TV PinGuim;2012;95;7.9;41
The Devil Dogs of Kilo Company;The Devil Dogs of Kilo Company;Action,Adventure,Animation;null;2015;70;6.4;25
Nuts!;Nuts!;Animation,Documentary;Gland Power Films;2016;79;7.1;859
One Piece Film: Gold;One Piece Film: Gold;Action,Adventure,Animation;Fuji Television Network;2016;124;7.1;5574
Chronicles of Humanity: Redemption;Chronicles of Humanity: Redemption;Action,Animation,Sci-Fi;null;2015;62;7.6;25
Hot Wheels Acceleracers the Ultimate Race;Hot Wheels Acceleracers the Ultimate Race;Action,Animation,Sci-Fi;null;2005;60;7.9;299
Wake Up, Girls! Zoku gekijouban: Seishun no kage;Wake Up, Girls! Zoku gekijouban: Seishun no kage;Animation,Comedy,Drama;Millepensee;2015;54;6;19
Wake Up, Girls! Beyond the Bottom;Wake Up, Girls! Beyond the Bottom;Animation,Comedy,Drama;Millepensee;2015;53;5.9;18
El ángel en el reloj;El ángel en el reloj;Animation,Family;null;2017;91;7;99
Garo: Divine Flame;Garo: Divine Flame;Action,Animation,Drama;MAPPA;2016;78;6.6;113
Mullewapp - Eine schöne Schweinerei;Mullewapp - Eine schöne Schweinerei;Animation;MotionWorks;2016;72;5.6;76
Hell Mountain;Hell Mountain;Animation,Crime,Drama;null;2017;92;3.8;162
Olympicos;Olympicos;Animation;Robert Sahakyants Productions;2020;74;7.5;58
Lupin III: The Italian Game;Lupin III: The Italian Game;Adventure,Animation;TMS Entertainment;2016;91;6.7;141
Girls und Panzer der Film;Girls und Panzer the Movie;Action,Animation,Comedy;Actas;2015;119;7.3;781
Kikoriki: Legend of the Golden Dragon;Smeshariki: Legenda o zolotom drakone;Adventure,Animation,Comedy;Cinema Fund;2017;79;5.5;337
Your Name.;Kimi no Na wa.;Animation,Drama,Fantasy;CoMix Wave Films;2016;106;8.4;267946
Zombillenium;Zombillénium;Animation,Comedy,Family;Maybe Movies;2017;78;6.3;1023
Sgt. Stubby: An American Hero;Sgt. Stubby: An American Hero;Adventure,Animation,Family;Fun Academy Media Group;2018;84;6.9;2316
Ivan Tsarevich i Seryy Volk 3;Ivan Tsarevich i Seryy Volk 3;Animation;Наше Кино;2016;76;5.6;395
A Silent Voice: The Movie;Koe no katachi;Animation,Drama;Kyoto Animation;2016;130;8.1;82403
GARAKOWA - Restore the World;Garasu no hana to kowasu sekai;Animation,Drama,Sci-Fi;A-1 Pictures;2015;67;5.6;131
Date a Live Movie: Mayuri Judgement;Gekijouban Dêto a raibu: Mayuri jajjimento;Action,Animation,Comedy;IMS Productions;2015;72;6.3;386
Yarn;Yarn;Animation,Documentary;null;2016;79;6.2;89
The Beast Is Still Alive;The Beast Is Still Alive;Animation,Documentary,Drama;Activist38;2016;90;7.4;63
Christmas in New York;Christmas in New York;Adventure,Animation,Family;SEK Studio;2005;88;5.3;70
Prick och Fläck på fläcken;Prick och Fläck på fläcken;Animation,Family;null;2013;53;5.3;16
Bajsfilmen - Dolores och Gunellens värld;Bajsfilmen - Dolores och Gunellens värld;Animation,Family;LEE Film;2016;45;5.9;56
Little Witch Academia: The Enchanted Parade;Ritoru wicchi akademia: Mahoujihikake no parêdo;Animation,Comedy,Family;Good Smile Company;2015;54;7.3;1760
The Adventures of Cheburashka and Friends;The Adventures of Cheburashka and Friends;Animation;null;2007;0;8;11
Gutboy: A Badtime Story;Gutboy: A Badtime Story;Animation,Comedy,Fantasy;null;2017;71;5.6;81
Legend of a Rabbit: The Martial of Fire;Tu xia zhi qing li chuan shuo;Animation;null;2015;90;5.7;141
Hwasangorae;Hwasangorae;Animation,Horror,Thriller;null;2014;70;6.6;9
The Arti: The Adventure Begins;The Arti: The Adventure Begins;Animation,Fantasy,Sci-Fi;PiLi International Multimedia;2015;0;5.7;79
The Autobots;Qi che ren zong dong yuan;Adventure,Animation,Family;null;2015;85;1;273
Looney Tunes: Rabbits Run;Looney Tunes: Rabbits Run;Adventure,Animation,Comedy;Warner Bros. Animation;2015;74;5.6;1063
The Nutcracker 3D;Kurumi wari ningyou;Animation,Family;Q-TEC;2015;80;3.3;11
Batman: The Killing Joke;Batman: The Killing Joke;Action,Animation,Crime;Warner Bros. Animation;2016;76;6.4;57611
On a Knife Edge;On a Knife Edge;Animation,Documentary;null;2017;90;7.9;43
Selector Destructed WIXOSS the Movie;Gekijouban Selector Destructed WIXOSS;Animation,Drama,Fantasy;J.C.STAFF;2016;91;5.8;35
VeggieTales: Veggies in Space;VeggieTales: Veggies in Space;Adventure,Animation,Comedy;Big Idea Productions;2014;50;6.9;67
VeggieTales: Noah's Ark;VeggieTales: Noah's Ark;Adventure,Animation,Family;Huhu Studios;2015;52;6.8;101
High Speed! Free! Starting Summer;Hai supîdo!: Free! Starting Days;Animation,Drama,Sport;Animation DO;2015;110;7.1;567
The Emoji Movie;The Emoji Movie;Adventure,Animation,Comedy;Columbia Pictures;2017;86;3.3;65085
Acid Space;Acid Space;Animation,Fantasy,Music;null;2015;70;5.5;16
Seer Movie 5: Rise of Thunder;Sai er hao da dian ying 5: lei shen jue qi;Animation;null;2015;90;4.2;15
The Little Mermaid: Attack of the Pirates;Mei ren yu zhi hai dao lai xi;Adventure,Animation,Family;Gold Valley Films;2015;77;4.3;112
Mr Black: Green Star;Hei mao jing zhang zhi fei cui zhi xing;Animation;Shanghai Animation Film Studio;2015;0;4.7;40
Kwai Boo;Gui Bao zhi bao xiao chuang yu zhou;Adventure,Animation,Comedy;null;2015;95;4.8;21
Slugterra: Eastern Caverns;Slugterra: Eastern Caverns;Action,Adventure,Animation;null;2015;90;7.9;163
Roco Kingdom 4: Go! Valley of the Giants;Luo ke wang guo 4: chu fa! ju ren;Animation;Tenceent Interactive Entertainment;2015;0;3.4;8
Snow White: The Mysterious Father;Bai xue gong zhu zhi shen mi ba ba;Animation,Family;Gold Valley Films;2015;78;5.5;77
No Place Like on the Road;No Place Like on the Road;Animation,Drama;null;2017;75;7.4;26
Regular Show: The Movie;Regular Show: The Movie;Action,Adventure,Animation;Cartoon Network Studios;2015;70;7.4;4917
Chris the Swiss;Chris the Swiss;Animation,Biography,Documentary;Dschoint Ventschr Filmproduktion;2018;90;7.1;500
Cafard;Cafard;Animation,Drama;Topkapi Films;2015;86;6.9;240
Abulele;Abulele;Adventure,Animation,Family;Spiro Films;2015;90;5.9;299
Open Season: Scared Silly;Open Season: Scared Silly!;Adventure,Animation,Comedy;Sony Pictures Animation;2015;84;5;3230
Duck Duck Goose;Duck Duck Goose;Adventure,Animation,Comedy;Original Force Animation;2018;91;5.7;3789
Detective Conan: The Darkest Nightmare;Meitantei Conan: Junkoku no naitomea;Action,Adventure,Animation;TMS Entertainment;2016;112;7;1929
1001 Arabian Nights;1001 Arabian Nights;Animation,Family,Fantasy;Columbia Pictures;1959;75;6.2;309
Magic Boy;Shônen Sarutobi Sasuke;Adventure,Animation,Family;Toei Animation;1959;83;6.7;473
Sleeping Beauty;Sleeping Beauty;Adventure,Animation,Family;Walt Disney Productions;1959;75;7.2;150210
Alakazam the Great;Saiyûki;Adventure,Animation,Family;Toei Animation;1960;88;5.9;466
The Littlest Warrior;Anju to Zushiômaru;Animation,Drama;Toei Animation;1961;83;6.5;76
The Bath House;Banya;Animation;null;1962;53;6.7;33
The Fabulous Baron Munchausen;Baron Prásil;Adventure,Animation,Comedy;Krátký film Praha – Filmové studio Gottwaldov;1962;83;7.7;2624
Marysia i krasnoludki;Marysia i krasnoludki;Animation,Family ;"Zespół Filmowy ""Rytm"""; 1961;71;5.9;13
Of Stars and Men;Of Stars and Men;Animation,Documentary;Storyboard Studios;1962;53;6.9;126
One Hundred and One Dalmatians;One Hundred and One Dalmatians;Adventure,Animation,Comedy;Walt Disney Productions;1961;79;7.3;169370
The Golden Key;Zolotoy klyuchik;Animation,Family,Fantasy;Mosfilm;1939;72;6.6;206
Fantasia;Fantasia;Animation,Family,Fantasy;Walt Disney Productions;1940;125;7.7;97398
Pinocchio;Pinocchio;Adventure,Animation,Comedy;Walt Disney Productions;1940;88;7.5;148132
Dumbo;Dumbo;Adventure,Animation,Drama;Walt Disney Productions;1941;64;7.2;133144
Mr. Bug Goes to Town;Mr. Bug Goes to Town;Animation,Comedy,Family;Fleischer Studios;1941;78;6.9;1306
The Reluctant Dragon;The Reluctant Dragon;Animation,Comedy,Family;Walt Disney Productions;1941;74;6.8;3446
Captain Sabertooth;Kaptein Sabeltann;Animation,Family;Seven Seas Production;2003;75;5.4;241
Patoruzito;Patoruzito;Adventure,Animation,Comedy;Red Lojo Entertainment;2004;75;4.7;224
Proteus: A Nineteenth Century Vision;Proteus: A Nineteenth Century Vision;Animation,Documentary,History;Night Fire Films;2004;97;7.7;111
Más ¡vampiros en La Habana!;Más ¡vampiros en La Habana!;Animation;ICAIC;2003;80;6.4;131
Boo, Zino & the Snurks;Back to Gaya;Animation,Fantasy;Ambient Entertainment;2004;91;5.1;1764
Cirkeline: Little Big Mouse;Cirkeline og verdens mindste superhelt;Animation,Family;Dansk Tegnefilm;2004;78;6.5;65
The Ugly Duckling and Me!;The Ugly Duckling and Me!;Adventure,Animation,Comedy;A. Film Production;2006;89;5.4;2624
Lao fu zi dong hua da dian ying: Fan dou shen tan;Lao fu zi dong hua da dian ying: Fan dou shen tan;Action,Animation;Asia Animation Ltd.;2003;73;5.3;43
Meet the Robinsons;Meet the Robinsons;Adventure,Animation,Comedy;Walt Disney Pictures;2007;95;6.8;101537
InuYasha the Movie 3: Swords of an Honorable Ruler;Inuyasha - Tenka hadou no ken;Action,Adventure,Animation;Kyoto Animation;2003;99;7.6;2258
Bolt;Bolt;Adventure,Animation,Comedy;Walt Disney Animation Studios;2008;96;6.8;212590
The District;Nyócker!;Animation,Comedy;Lichthof Productions Ltd.;2004;87;6;1811
Tangled;Tangled;Adventure,Animation,Comedy;Walt Disney Animation Studios;2010;100;7.7;454283
Clifford's Really Big Movie;Clifford's Really Big Movie;Adventure,Animation,Comedy;Big Red Dog Productions;2004;74;5.4;1003
Geppetto's Secret;Geppetto's Secret;Animation;null;2005;0;5.9;43
Kinnikuman: Haresugata! Seigi chôjin;Kinnikuman: Haresugata! Seigi chôjin;Animation;Toei Animation;1985;60;6.5;13
Nina;Nina;Animation,Drama,Thriller;null;2004;85;6.6;971
Totò Sapore e la magica storia della pizza;Totò Sapore e la magica storia della pizza;Adventure,Animation,Comedy;Lanterna Magica;2003;78;6;348
Bolívar: el héroe;Bolívar: el héroe;Animation,Biography;null;2003;75;1.3;669
The Ideon: A Contact;Densetsu-kyoshin ideon: Sesshoku-hen;Animation,Sci-Fi;SUNRISE;1982;85;6.1;116
Open Season;Open Season;Adventure,Animation,Comedy;Sony Pictures Animation;2006;86;6.1;97623
The 3 Wise Men;Los reyes magos;Animation,Family;Carrere Group D.A.;2003;76;5.4;414
Shinsengumi;Shinsengumi;Action,Animation;null;2000;86;6.8;32
Twelve Months;Sekai meisaku dôwa: Mori wa ikiteiru;Adventure,Animation,Family;Toei Animation;1980;65;7.2;390
Appleseed;Appurushîdo;Action,Adventure,Animation;TOHO;2004;101;6.9;18189
The Little Polar Bear 2: The Mysterious Island;Der kleine Eisbär 2: Die geheimnisvolle Insel;Adventure,Animation,Drama;Rothkirch Cartoon Film;2005;80;5.6;264
Piccolo, Saxo et compagnie;Piccolo, Saxo et compagnie;Animation,Family;Haut et Court;2006;78;5.4;109
Yu-Gi-Oh!: The Movie - Pyramid of Light;Yu-Gi-Oh! The Movie;Action,Adventure,Animation;Shueisha;2004;100;4.9;8681
Ladybirds' Christmas;Lepatriinude jõulud;Animation,Family;Eesti Joonisfilm;2001;54;7.1;239
A Scanner Darkly;A Scanner Darkly;Animation,Comedy,Crime;Warner Independent Pictures;2006;100;7;112786
The Wild;The Wild;Adventure,Animation,Comedy;Walt Disney Pictures;2006;95;5.2;26293
Scoopers;Scoopers;Animation;IMAGICA;1987;58;6;25
Les aventures extraordinaires de Michel Strogoff;Les aventures extraordinaires de Michel Strogoff;Animation;Rouge Citron Production;2004;87;6.5;42
Kureyon Shin-chan ankoku tamatama daitsuiseki;Kureyon Shin-chan ankoku tamatama daitsuiseki;Action,Adventure,Animation;Shin-Ei Animation;1997;100;6.8;586
Harold and the Ghosts;Harold and the Ghosts;Animation;Stockmann Filmverlag;1994;83;4.8;11
Pooh's Heffalump Movie;Pooh's Heffalump Movie;Adventure,Animation,Comedy;DisneyToon Studios;2005;68;6.4;7761
Lunacy;Sílení;Animation,Comedy,Drama;ATHANOR;2005;118;7.2;3791
A Guest of Life: Alexander Csoma De Körös;Az élet vendége: Csoma-legendárium;Animation,Documentary,Drama;null;2006;79;7.9;64
Martian Successor Nadesico - The Motion Picture: Prince of Darkness;Kidô senkan Nadeshiko: Prince of Darkness;Action,Animation,Sci-Fi;TV Tokyo;1998;87;6.5;283
Crayon Shin-chan: Action Kamen vs. Demon;Kureyon Shinchan: Action Kamen vs Haigure Maô;Action,Adventure,Animation;TV Asahi;1993;93;6.6;510
The World of Goopi and Bagha;Goopi Gawaiya Bagha Bajaiya;Animation,Comedy,Drama;null;2013;79;7.4;138
Raven the Little Rascal - The Big Race;Der kleine Rabe Socke - Das große Rennen;Adventure,Animation,Family;Akkord Film;2015;73;6.1;119
Henchmen;Henchmen;Animation,Comedy,Family;Bron Studios;2018;89;5.1;667
The Fake;Saibi;Animation,Drama,Thriller;Studio Dadashow;2013;101;6.8;796
The Many Adventures of Winnie the Pooh;The Many Adventures of Winnie the Pooh;Adventure,Animation,Comedy;Walt Disney Productions;1977;74;7.5;37009
The Mouse and His Child;The Mouse and His Child;Adventure,Animation,Drama;Murakami-Wolf Productions;1977;83;6.8;502
Pete's Dragon;Pete's Dragon;Adventure,Animation,Comedy;Walt Disney Productions;1977;128;6.3;25103
Race for Your Life, Charlie Brown;Race for Your Life, Charlie Brown;Adventure,Animation,Comedy;Paramount;1977;76;7.2;3674
Raggedy Ann & Andy: A Musical Adventure;Raggedy Ann & Andy: A Musical Adventure;Adventure,Animation,Comedy;International Telephone and Telegraph Corporation;1977;84;6.6;916
The Rescuers;The Rescuers;Adventure,Animation,Comedy;Walt Disney Productions;1977;78;6.9;64976
Around the World with Bolek and Lolek;Wielka podróz Bolka i Lolka;Animation;Studio Filmów Rysunkowych;1977;101;7.4;291
Wizards;Wizards;Adventure,Animation,Fantasy;Bakshi Productions;1977;82;6.4;12063
Wombling Free;Wombling Free;Animation,Comedy,Family;null;1977;96;4.8;231
Lucky Luke: Ballad of the Daltons;La ballade des Dalton;Animation,Comedy,Family;Studios Idéfix;1978;82;6.9;2015
Firebird: Daybreak Chapter;Hi no tori;Action,Adventure,Animation;TOHO;1978;122;6;196
The Lord of the Rings;The Lord of the Rings;Adventure,Animation,Fantasy;Fantasy Films;1978;132;6.2;33943
Lupin the 3rd: The Mystery of Mamo;Rupan sansei;Action,Adventure,Animation;TOHO;1978;102;6.9;1475
Mr. Rossi's Dreams;I sogni del signor Rossi;Adventure,Animation;Bruno Bozzetto Film;1977;80;7.4;155
Swan Lake;Sekai meisaku dôwa: Hakuchô no mizûmi;Adventure,Animation,Family;Toei Animation;1981;75;7.6;888
The Water Babies;The Water Babies;Adventure,Animation,Family;null;1978;94;6;1394
Watership Down;Watership Down;Adventure,Animation,Drama;Nepenthe Productions;1978;91;7.6;37124
Metamorphoses;Metamorphoses;Animation,Fantasy;Sanrio Communications;1978;80;6.3;159
Animalympics;Animalympics;Animation,Comedy,Family;Lisberger Studios;1980;78;6.8;2167
The Bugs Bunny/Road-Runner Movie;The Bugs Bunny/Road Runner Movie;Animation,Comedy,Family;Warner Bros. Pictures;1979;98;7.2;4216
Foam Bath;Habfürdö;Animation,Comedy,Drama;Pannónia Filmstúdió;1980;79;7.2;407
Phoenix 2772;Hi no tori 2772: Ai no kosumozôn;Adventure,Animation,Drama;TOHO;1980;122;6.8;540
The Little Convict;The Little Convict;Animation,Drama,Family;Australian Film Commission;1979;80;7.1;88
Nutcracker Fantasy;Nutcracker Fantasy;Animation,Family,Fantasy;Sanrio Communications;1979;95;6.9;238
